English,Spanish,French,German,Italian
malpractice,mala praxis / negligencia,faute professionnelle,Kunstfehler / Fehlverhalten,malasanita / malpractice
dylan,Dylan,Dylan,Dylan,Dylan
bras,sostenes / sujetadores,soutiens-gorge,BHs,reggiseni
belts,cinturones,ceintures,Gurtel,cinture
blacks,negros / personas negras,noirs,Schwarze,neri / persone nere
educated,educado / instruido,eduque / instruit,gebildet / erzogen,istruito / educato
rebates,rebajas / reembolsos,remises / rabais,Rabatte / Erstattungen,sconti / rimborsi
reporters,reporteros,reporters,Reporter,giornalisti / reporter
burke,Burke,Burke,Burke,Burke
proudly,orgullosamente,fierement,stolz,con orgoglio
pix,pix / fotos,pix / photos,pix / Bilder,pix / foto
necessity,necesidad,necessite,Notwendigkeit,necessita
rendering,renderizado / representacion,rendu / representation,Rendering / Wiedergabe,rendering / resa
mic,microfono / mic,micro / mic,Mikrofon / Mic,microfono / mic
inserted,insertado,insere,eingefugt,inserito
pulling,tirando / arrastrando,tirant,ziehend,tirando
basename,nombre base,nom de base,Basisname,nome base
kyle,Kyle,Kyle,Kyle,Kyle
obesity,obesidad,obesite,Fettleibigkeit / Adipositas,obesita
curves,curvas,courbes,Kurven,curve
suburban,suburbano,suburbain,vorstadtisch / suburban,suburbano
touring,de gira / turismo,en tournee / tourisme,Touring / auf Tour,in tour / da turismo
clara,Clara,Clara,Clara,Clara
vertex,vertice,sommet / vertex,Scheitelpunkt / Vertex,vertice
hepatitis,hepatitis,hepatite,Hepatitis,epatite
nationally,a nivel nacional,nationalement,landesweit / national,a livello nazionale
tomato,tomate,tomate,Tomate,pomodoro
andorra,Andorra,Andorre,Andorra,Andorra
waterproof,impermeable,imperméable / etanche,wasserdicht,impermeabile
expired,caducado / vencido / expirado,expire,abgelaufen,scaduto
travels,viajes / viaja,voyages / voyage,Reisen / reist,viaggi / viaggia
flush,al ras / tirar de la cadena / ruborizado,rincer / chasse d'eau / rouge,spulen / flach / errötet,sciacquare / tirare lo sciacquone / a filo
waiver,renuncia / exencion,renonciation / derogation,Verzichtserklarung / Ausnahme,rinuncia / esenzione
pale,palido,pale,blass,pallido
specialties,especialidades,specialites,Spezialitaten,specialita
hayes,Hayes,Hayes,Hayes,Hayes
humanitarian,humanitario,humanitaire,humanitar,umanitario
invitations,invitaciones,invitations,Einladungen,inviti
functioning,funcionamiento / funcionando,fonctionnement / fonctionnant,Funktionieren / funktionierend,funzionamento / funzionando
delight,deleite / encantar,delice / ravir,Freude / entzucken,delizia / deliziare
survivor,superviviente,survivant,Uberlebender,sopravvissuto
garcia,Garcia,Garcia,Garcia,Garcia
cingular,Cingular,Cingular,Cingular,Cingular
economies,economias,economies,Wirtschaften / Volkswirtschaften,economie
alexandria,Alejandria,Alexandrie,Alexandria,Alessandria
bacterial,bacteriano,bacterien,bakteriell,batterico
moses,Moises,Moise,Moses,Mosè / Moses
counted,contado / contado entre,compte / denombre,gezahlt / mitgezahlt,contato / annoverato
undertake,emprender / asumir,entreprendre / assumer,unternehmen / ubernehmen,intraprendere / assumersi
declare,declarar,declarer,erklaren / deklarieren,dichiarare
continuously,continuamente,continuellement,kontinuierlich,continuamente
johns,Johns,Johns,Johns,Johns
valves,valvulas,valves,Ventile,valvole
gaps,brechas / huecos,ecarts / lacunes,Lucken / Abstände,lacune / spazi
impaired,deteriorado / discapacitado,altere / handicape,beeintrachtigt,compromesso / disabile
achievements,logros,realisations,Errungenschaften / Leistungen,risultati / successi
donors,donantes,donateurs,Spender,donatori
tear,lagrima / rasgar,larme / dechirer,Trane / reißen,lacrima / strappare
jewel,joya,bijou,Juwel,gioiello
teddy,teddy / oso de peluche,teddy / ours en peluche,Teddy / Teddybär,teddy / orsacchiotto
convertible,convertible,convertible,Cabrio / wandelbar,convertibile
ata,ATA,ATA,ATA,ATA
teaches,ensena,enseigne,lehrt,insegna
ventures,aventuras / empresas arriesgadas,aventures / entreprises,Abenteuer / Unternehmungen,avventure / iniziative
nil,nulo / cero,nul / zero,null / nichts,nullo / zero
bufing,bufing,bufing,bufing,bufing
stranger,extrano / desconocido,etranger / inconnu,Fremder / Unbekannter,straniero / sconosciuto
tragedy,tragedia,tragedie,Tragodie,tragedia
julian,Julian,Julian,Julian,Julian
nest,nido,nid,Nest,nido
pam,Pam,Pam,Pam,Pam
dryer,secadora / secador,seche-linge / sechoir,Trockner,asciugatrice / asciugatore
painful,doloroso,douloureux,schmerzhaft,doloroso
velvet,terciopelo,velours,Samt,velluto
tribunal,tribunal,tribunal,Tribunal / Gericht,tribunale
ruled,goberno / dictamino,a gouverne / a statue,regierte / entschied,ha governato / ha stabilito
nato,OTAN / NATO,OTAN / NATO,NATO,NATO / OTAN
pensions,pensiones,pensions,Renten / Pensionen,pensioni
prayers,oraciones,prieres,Gebete,preghiere
funky,funky / original / raro,funky / original,funky / cool,funky / originale
secretariat,secretariado,secretariat,Sekretariat,segreteria / segretariato
nowhere,ninguna parte,nulle part,nirgendwo,da nessuna parte
cop,policia,flic / policier,Bulle / Polizist,poliziotto
paragraphs,parrafos,paragraphes,Absatze,paragrafi
gale,vendaval / Gale,coup de vent / Gale,Sturm / Gale,burrasca / Gale
joins,se une / une,rejoint / joint,tritt bei / verbindet,si unisce / unisce
adolescent,adolescente,adolescent,Jugendlicher,adolescente
nominations,nominaciones,nominations,Nominierungen,nomine
wesley,Wesley,Wesley,Wesley,Wesley
dim,tenue / atenuar,faible / tamiser,dunkel / gedimmt,fioco / attenuare
lately,ultimamente,dernierement,in letzter Zeit,ultimamente
cancelled,cancelado,annule,abgesagt,cancellato
scary,aterrador,effrayant,beängstigend / gruselig,spaventoso
mattress,colchon,matelas,Matratze,materasso
mpegs,MPEGs,MPEG,MPEGs,MPEG
brunei,Brunei,Brunei,Brunei,Brunei
likewise,igualmente,de meme / egalement,ebenso,allo stesso modo / ugualmente
banana,platano / banana,banane,Banane,banana
introductory,introductorio,introductif,einfuhrend,introduttivo
slovak,eslovaco,slovaque,slowakisch / Slowake,slovacco
cakes,pasteles / tortas,gateaux,Kuchen,torte / dolci
stan,Stan,Stan,Stan,Stan
reservoir,reservorio / embalse,reservoir,Reservoir / Stausee,serbatoio / bacino
occurrence,ocurrencia / aparicion,occurrence,Auftreten / Vorkommen,occorrenza / evento
idol,idolo,idole,Idol,idolo
mixer,mezclador / batidora,mixeur / melangeur,Mixer / Mischpult,mixer / frullatore
remind,recordar / recordar a alguien,rappeler,erinnern,ricordare
worcester,Worcester,Worcester,Worcester,Worcester
sbjct,asunto,sujet,Betreff,oggetto
demographic,demografico,demographique,demografisch,demografico
charming,encantador,charmant,charmant / bezaubernd,affascinante
mai,mai,mai,Mai,maggio / mai
tooth,diente,dent,Zahn,dente
disciplinary,disciplinario,disciplinaire,disziplinarisch,disciplinare
annoying,molesto,ennuyant,nervig,fastidioso
respected,respetado,respecte,respektiert / angesehen,rispettato
stays,permanece / estancias,reste / sejours,bleibt / Aufenthalte,rimane / soggiorni
disclose,revelar,divulguer,offenlegen,rivelare
affair,asunto / aventura,affaire / aventure,Affare / Beziehung,affare / relazione
drove,condujo,a conduit,fuhr,ha guidato
washer,lavadora / arandela,lave-linge / rondelle,Waschmaschine / Unterlegscheibe,lavatrice / rondella
upset,molesto / trastornar,contrarie / bouleverser,verargert / umstoßen,sconvolto / turbare
restrict,restringir,restreindre,einschranken,limitare / restringere
springer,Springer,Springer,Springer,Springer
beside,al lado de,a cote de,neben,accanto a
mines,minas,mines,Minen / Bergwerke,miniere
portraits,retratos,portraits,Portrats,ritratti
rebound,rebote / recuperarse,rebond / rebondir,Abpraller / Erholung,rimbalzo / ripresa
logan,Logan,Logan,Logan,Logan
mentor,mentor,mentor,Mentor,mentore
interpreted,interpretado,interprete,interpretiert,interpretato
evaluations,evaluaciones,evaluations,Bewertungen / Beurteilungen,valutazioni
fought,lucho / combatio,a combattu,kampfte,ha combattuto
baghdad,Bagdad,Bagdad,Bagdad,Baghdad / Bagdad
elimination,eliminacion,elimination,Beseitigung / Eliminierung,eliminazione
metres,metros,metres,Meter,metri
hypothetical,hipotetico,hypothetique,hypothetisch,ipotetico
immigrants,inmigrantes,immigrants,Einwanderer,immigrati
complimentary,gratuito / elogioso / complementario,gratuit / elogieux / complementaire,kostenlos / schmeichelhaft / erganzend,gratuito / elogiativo / complementare
helicopter,helicoptero,helicoptere,Hubschrauber,elicottero
pencil,lapiz,crayon,Bleistift,matita
freeze,congelar / congelacion,geler / gel,frieren / einfrieren,congelare / congelamento
performer,interprete / ejecutante,interprete / artiste,Darsteller / Performer,interprete / esecutore
abu,Abu,Abu,Abu,Abu
titled,titulado,intitule,betitelt,intitolato
commissions,comisiones,commissions,Kommissionen,commissioni
sphere,esfera,sphere,Sphare / Kugel,sfera
powerseller,PowerSeller,PowerSeller,PowerSeller,PowerSeller
moss,musgo,mousse,Moos,muschio
ratios,proporciones / ratios,rapports / ratios,Verhaltnisse / Ratios,rapporti / ratio
concord,Concord / concordia,Concord / concorde,Concord / Eintracht,Concord / concordia
graduated,graduado / se graduo,diplome / a obtenu son diplome,abgeschlossen / graduierte,laureato / diplomato
endorsed,respaldado / avalado,approuve / soutenu,befurwortet / unterstutzt,approvato / sostenuto
surprising,sorprendente,surprenant,uberraschend,sorprendente
walnut,nuez / nogal,noix / noyer,Walnuss / Nussbaum,noce / noce americano
lance,lanza / Lance,lance / Lance,Lanze / Lance,lancia / Lance
ladder,escalera,echelle,Leiter,scala
italia,Italia,Italie / Italia,Italien / Italia,Italia
unnecessary,innecesario,inutile / inutilement necessaire,unnötig,inutile / non necessario
dramatically,dramaticamente,de facon spectaculaire,dramatisch,drammaticamente
liberia,Liberia,Liberia,Liberia,Liberia
sherman,Sherman,Sherman,Sherman,Sherman
cork,corcho / Cork,liege / Cork,Kork / Cork,sughero / Cork
maximize,maximizar,maximiser,maximieren,massimizzare
hansen,Hansen,Hansen,Hansen,Hansen
senators,senadores,senateurs,Senatoren,senatori
workout,entrenamiento,entrainement,Training / Workout,allenamento
mali,Mali,Mali,Mali,Mali
yugoslavia,Yugoslavia,Yougoslavie,Jugoslawien,Jugoslavia
bleeding,sangrado / sangrando,saignement / saignant,Blutung / blutend,sanguinamento / sanguinante
characterization,caracterizacion,caracterisation,Charakterisierung,caratterizzazione
colon,colon / dos puntos,colon / deux-points,Dickdarm / Doppelpunkt,colon / due punti
likelihood,probabilidad,probabilite,Wahrscheinlichkeit,probabilita
lanes,carriles,voies,Fahrspuren / Bahnen,corsie
purse,bolso / cartera,sac a main,Handtasche / Geldbeutel,borsa / portafoglio
fundamentals,fundamentos,fondamentaux,Grundlagen,fondamenti
contamination,contaminacion,contamination,Kontamination,contaminazione
mtv,MTV,MTV,MTV,MTV
endangered,en peligro,en danger,gefahrdet,in pericolo
compromise,compromiso / poner en riesgo,compromis / compromettre,Kompromiss / gefahrden,compromesso / compromettere
optimize,optimizar,optimiser,optimieren,ottimizzare
stating,declarando,declarant,angebend / erklarend,dichiarando
dome,domo,dome,Kuppel,cupola / duomo
caroline,Caroline,Caroline,Caroline,Caroline
leu,leu,leu,leu,leu
expiration,expiracion / vencimiento,expiration / echeance,Ablauf / Verfall,scadenza / expirazione
namespace,espacio de nombres,espace de noms,Namensraum,spazio dei nomi
align,alinear,aligner,ausrichten,allineare
peripheral,periferico / periferico,peripherique,peripher,periferico
bless,bendecir,benir,segnen,benedire
engaging,atractivo / involucrando,captivant / engageant,ansprechend / einbindend,coinvolgente / coinvolgendo
negotiation,negociacion,negociation,Verhandlung,negoziazione
crest,cresta / cima,crete / sommet,Kamm / Spitze,cresta / vetta
opponents,oponentes / rivales,adversaires,Gegner,avversari
triumph,triunfo / triunfar,triomphe / triompher,Triumph / triumphieren,trionfo / trionfare
nominated,nominado,nomine,nominiert,nominato
confidentiality,confidencialidad,confidentialite,Vertraulichkeit,riservatezza
electoral,electoral,electoral,wahl- / elektoral,elettorale
changelog,registro de cambios,journal des modifications,Anderungsprotokoll,registro delle modifiche
welding,soldadura / soldando,soudage / soudant,Schweißen / Schweißen,saldatura / saldando
deferred,diferido / aplazado,differe / reporte,aufgeschoben / verschoben,differito / rinviato
alternatively,alternativamente,alternativement,alternativ,in alternativa
heel,talon,talon,Ferse / Absatz,tallone
alloy,aleacion,alliage,Legierung,lega
condos,condominios,condos / coproprietes,Eigentumswohnungen,condomini
plots,parcelas / tramas / grafica,parcelles / intrigues / trace,Grundstucke / Plots / Handlungen,appezzamenti / trame / grafici
polished,pulido / refinado,poli / raffine,poliert / geschniegelt,lucidato / raffinato
yang,Yang,Yang,Yang,Yang
gently,suavemente,doucement,sanft,delicatamente
greensboro,Greensboro,Greensboro,Greensboro,Greensboro
tulsa,Tulsa,Tulsa,Tulsa,Tulsa
locking,bloqueo / bloqueando,verrouillage / verrouillant,Verriegelung / sperrend,blocco / bloccando
casey,Casey,Casey,Casey,Casey
controversial,controvertido / polemico,controverse,umstritten,controverso
draws,dibuja / atrae / sorteos / empates,dessine / attire / tirages,zieht / zeichnet / Unentschieden,disegna / attira / sorteggi
fridge,nevera,frigo,Kuhlschrank,frigo / frigorifero
blanket,manta / general,couverture / global,Decke / pauschal,coperta / generale
bloom,florecer / floracion,fleurir / floraison,bluhen / Blute,fiorire / fioritura
simpsons,Los Simpson,Les Simpson,Die Simpsons,I Simpson
lou,Lou,Lou,Lou,Lou
elliott,Elliott,Elliott,Elliott,Elliott
recovered,recuperado,recupere,erholt / wiedergewonnen,recuperato
fraser,Fraser,Fraser,Fraser,Fraser
justify,justificar,justifier,rechtfertigen,giustificare
upgrading,actualizando / mejorando,mise a niveau / ameliorant,aufrusten / upgraden,aggiornamento / migliorando
blades,cuchillas / hojas,lames,Klingen / Rotorblatter,lame
pgp,PGP,PGP,PGP,PGP
loops,bucles / lazos,boucles,Schleifen,loop / anelli
surge,aumento repentino / sobretension,hausse / surtension,Anstieg / Stoß,impennata / sbalzo
frontpage,FrontPage / portada,FrontPage / page d'accueil,FrontPage / Startseite,FrontPage / pagina iniziale
trauma,trauma,traumatisme,Trauma,trauma
tahoe,Tahoe,Tahoe,Tahoe,Tahoe
advert,anuncio,publicite,Anzeige / Werbung,annuncio / pubblicita
possess,poseer,posseder,besitzen,possedere
demanding,exigente / demandando,exigeant,anspruchsvoll / fordernd,impegnativo / esigente
defensive,defensivo / defensa,defensif,defensiv,difensivo
sip,sorbo / SIP,gorgee / SIP,Schluck / SIP,sorso / SIP
flashers,intermitentes / exhibicionistas,clignotants / exhibitionnistes,Blinker / Exhibitionisten,frecce / esibizionisti
subaru,Subaru,Subaru,Subaru,Subaru
forbidden,prohibido,interdit,verboten,vietato
vanilla,vainilla,vanille,Vanille,vaniglia
programmers,programadores,programmeurs,Programmierer,programmatori
monitored,monitoreado / supervisado,surveille,uberwacht,monitorato / sorvegliato
installations,instalaciones,installations,Installationen / Anlagen,installazioni
deutschland,Alemania / Deutschland,Allemagne / Deutschland,Deutschland,Germania / Deutschland
picnic,picnic,pique-nique,Picknick,picnic
souls,almas,ames,Seelen,anime
arrivals,llegadas,arrivees,Ankunfte,arrivi
spank,nalgada / azotar,fesser / claque,versohlen / Klaps,sculacciare / sculacciata
practitioner,profesional / practicante,praticien,Praktiker,professionista / praticante
motivated,motivado,motive,motiviert,motivato
dumb,tonto / mudo,stupide / muet,dumm / stumm,stupido / muto
smithsonian,Smithsonian,Smithsonian,Smithsonian,Smithsonian
hollow,hueco / vacio,creux,hohl,cavo / vuoto
vault,boveda / salto,voute / coffre,Gewolbe / Tresor,volta / caveau
securely,de forma segura,en toute securite,sicher,in modo sicuro
examining,examinando,examinant,untersuchend,esaminando
fioricet,Fioricet,Fioricet,Fioricet,Fioricet
groove,ranura / ritmo,rainure / groove,Rille / Groove,scanalatura / groove
revelation,revelacion,revelation,Offenbarung,rivelazione
pursuit,persecucion / busqueda,poursuite / quete,Verfolgung / Streben,inseguimento / ricerca
delegation,delegacion,delegation,Delegation,delegazione
wires,cables / alambres,fils / cables,Drahte / Kabel,fili / cavi
dictionaries,diccionarios,dictionnaires,Worterbucher,dizionari
mails,correos / envia por correo,courriers / envoie,Mails / sendet,mail / invia
backing,respaldo / apoyo / recubrimiento,soutien / support,Unterstutzung / Ruckseite,supporto / sostegno / retro
greenhouse,invernadero,serre,Gewachshaus,serra
sleeps,duerme / duerme,dort,schlaft,dorme
blake,Blake,Blake,Blake,Blake
transparency,transparencia,transparence,Transparenz,trasparenza
dee,Dee,Dee,Dee,Dee
travis,Travis,Travis,Travis,Travis
endless,interminable / infinito,sans fin,endlos,infinito / senza fine
figured,supuso / calculo / descubrio,a suppose / calcule,dachte / berechnete / erkannte,ha supposto / calcolato / capito
orbit,orbita,orbite,Orbit / Umlaufbahn,orbita
currencies,monedas / divisas,devises / monnaies,Wahrungen,valute / monete
niger,Niger,Niger,Niger,Niger
bacon,tocino / beicon,bacon / lard,Speck / Bacon,bacon / pancetta
survivors,supervivientes,survivants,Uberlebende,sopravvissuti
positioning,posicionamiento,positionnement,Positionierung,posizionamento
heater,calentador / calefactor,chauffage / radiateur,Heizgerat / Heizer,riscaldatore / stufa
colony,colonia,colonie,Kolonie,colonia
